datetime,open,high,low,close
2021-10-01 01:00:00,65.85,69.52,61.47,63.27
2021-10-01 02:00:00,63.27,82.43,61.61,64.09
2021-10-01 03:00:00,64.09,71.89,63.44,69.91
2021-10-01 04:00:00,69.89,69.89,63.91,63.97
2021-10-01 05:00:00,63.97,80.03,61.82,65.55
2021-10-01 06:00:00,65.55,82.2,62.28,63.79
2021-10-01 07:00:00,63.78,78.15,60.15,61.13
2021-10-01 08:00:00,61.16,77.46,61.16,65.99
2021-10-01 09:00:00,65.99,74.86,59.76,59.76
2021-10-01 10:00:00,59.76,88.31,57.93,88.31
2021-10-01 11:00:00,88.42,117.32,88.42,109.98
2021-10-01 12:00:00,109.98,110.94,109.87,110.94
2021-10-01 13:00:00,110.95,118.95,110.14,118.63
2021-10-01 14:00:00,118.63,122.17,116.42,116.42
2021-10-01 15:00:00,116.39,118.22,107.36,107.52
2021-10-01 16:00:00,107.52,107.57,102.58,102.69
2021-10-01 17:00:00,102.69,103.47,102.62,103.15
2021-10-01 18:00:00,103.14,103.59,102.67,103.14
2021-10-01 19:00:00,103.14,103.59,102.75,102.89
2021-10-01 20:00:00,102.89,103.56,102.84,103.4
2021-10-01 21:00:00,103.4,103.57,102.85,103.13
2021-10-01 22:00:00,103.13,104.08,102.81,103.81
2021-10-01 23:00:00,103.81,103.9,102.78,103.21
2021-10-02 00:00:00,103.21,103.46,102.61,103.33
2021-10-02 01:00:00,103.33,103.33,102.47,102.71
2021-10-02 02:00:00,102.71,102.74,102.07,102.59
2021-10-02 03:00:00,102.59,103.15,102.58,103.07
2021-10-02 04:00:00,103.07,103.1,102.6,102.84
2021-10-02 05:00:00,102.84,102.86,102.3,102.63
2021-10-02 06:00:00,102.63,102.73,102.46,102.56
2021-10-02 07:00:00,102.56,102.83,102.56,102.63
2021-10-02 08:00:00,102.63,104.73,102.55,104.73
2021-10-02 09:00:00,104.73,104.78,104.46,104.6
2021-10-02 10:00:00,104.6,104.67,104.32,104.51
2021-10-02 11:00:00,104.51,104.69,104.35,104.37
2021-10-02 12:00:00,104.37,104.78,104.36,104.4
2021-10-02 13:00:00,104.4,104.66,103.44,103.64
2021-10-02 14:00:00,103.64,103.94,103.32,103.48
2021-10-02 15:00:00,103.48,103.83,103.43,103.71
2021-10-02 16:00:00,103.71,104.06,103.54,103.72
2021-10-02 17:00:00,103.72,104.12,103.5,103.78
2021-10-02 18:00:00,103.78,103.93,103.61,103.93
2021-10-02 19:00:00,103.93,103.93,103.12,103.2
2021-10-02 20:00:00,103.2,103.76,102.95,103.67
2021-10-02 21:00:00,103.67,103.67,103.42,103.45
2021-10-02 22:00:00,103.45,103.6,103.34,103.6
2021-10-02 23:00:00,103.6,104.24,103.47,104.13
2021-10-03 00:00:00,104.13,104.4,103.13,104.32
2021-10-03 01:00:00,104.32,104.41,103.33,103.75
2021-10-03 02:00:00,103.75,104.41,103.6,103.93
2021-10-03 03:00:00,103.92,104.36,103.65,103.65
2021-10-03 04:00:00,103.65,104.18,101.74,101.97
2021-10-03 05:00:00,101.97,102.59,101.71,102.31
2021-10-03 06:00:00,102.31,102.56,102.14,102.23
2021-10-03 07:00:00,102.23,105.08,102.23,104.93
2021-10-03 08:00:00,104.93,104.99,104.59,104.7
2021-10-03 09:00:00,104.7,105.02,104.36,104.93
2021-10-03 10:00:00,104.93,105.09,104.47,104.55
2021-10-03 11:00:00,104.55,104.75,104.49,104.72
2021-10-03 12:00:00,104.72,109.92,103.97,103.97
2021-10-03 13:00:00,103.97,112.19,103.94,112.18
2021-10-03 14:00:00,112.18,112.56,112.07,112.4
2021-10-03 15:00:00,112.4,112.42,111.85,112.04
2021-10-03 16:00:00,112.04,112.32,111.81,112.2
2021-10-03 17:00:00,112.2,112.48,111.84,111.89
2021-10-03 18:00:00,111.89,112.88,111.57,111.65
2021-10-03 19:00:00,111.65,111.67,111.17,111.32
2021-10-03 20:00:00,111.32,111.6,111.13,111.57
2021-10-03 21:00:00,111.57,112.75,111.12,111.76
2021-10-03 22:00:00,111.76,112.57,111.76,112.22
2021-10-03 23:00:00,112.22,112.33,111.74,111.85
2021-10-04 00:00:00,111.85,112.09,111.73,111.94
2021-10-04 01:00:00,111.94,112.19,111.48,112.05
2021-10-04 02:00:00,112.05,112.41,111.98,112.2
2021-10-04 03:00:00,112.2,112.55,111.77,112.27
2021-10-04 04:00:00,112.27,112.78,112.12,112.71
2021-10-04 05:00:00,112.71,113.06,112.27,112.37
2021-10-04 06:00:00,112.37,112.47,111.96,112.34
2021-10-04 07:00:00,112.34,112.5,112.2,112.22
2021-10-04 08:00:00,112.22,112.49,112.22,112.39
2021-10-04 09:00:00,112.39,112.67,110.59,110.7
2021-10-04 10:00:00,110.7,110.94,110.7,110.83
2021-10-04 11:00:00,110.83,111.47,62.37,62.63
2021-10-04 12:00:00,62.65,74.84,62.65,64.65
2021-10-04 13:00:00,64.69,75.33,61.15,70.78
2021-10-04 14:00:00,70.77,78.72,68.81,78.65
2021-10-04 15:00:00,78.65,79.74,70.52,77.33
2021-10-04 16:00:00,77.34,81.22,67.63,77.74
2021-10-04 17:00:00,77.75,83.46,73.75,78.08
2021-10-04 18:00:00,78.09,83.12,72.2,77.92
2021-10-04 19:00:00,77.91,84.55,77.75,83.45
2021-10-04 20:00:00,83.44,86.75,81.19,86.44
2021-10-04 21:00:00,86.43,86.43,79.48,85.28
2021-10-04 22:00:00,85.29,86.14,84.25,85.93
2021-10-04 23:00:00,85.93,87.69,81.04,84.35
2021-10-05 00:00:00,84.36,88.47,83.21,87.0
2021-10-05 01:00:00,87.0,90.34,80.15,87.21
2021-10-05 02:00:00,87.21,90.47,82.81,88.18
2021-10-05 03:00:00,88.18,89.52,83.72,86.33
2021-10-05 04:00:00,86.33,87.39,85.77,85.77
2021-10-05 05:00:00,85.77,89.22,85.77,89.13
2021-10-05 06:00:00,89.13,89.4,85.64,87.0
2021-10-05 07:00:00,87.0,90.66,86.91,89.73
2021-10-05 08:00:00,89.73,90.33,82.38,86.19
2021-10-05 09:00:00,86.19,93.65,83.69,86.82
2021-10-05 10:00:00,86.78,88.72,80.91,84.29
