datetime,open,high,low,close
2021-10-01 01:00:00,91.14,91.36,91.12,91.24
2021-10-01 02:00:00,91.24,91.54,91.11,91.35
2021-10-01 03:00:00,91.35,91.38,91.21,91.22
2021-10-01 04:00:00,91.22,91.24,91.14,91.14
2021-10-01 05:00:00,91.14,91.23,90.43,90.43
2021-10-01 06:00:00,90.43,90.91,90.21,90.41
2021-10-01 07:00:00,90.41,90.43,89.72,90.1
2021-10-01 08:00:00,90.1,90.46,88.26,88.53
2021-10-01 09:00:00,88.53,88.93,88.36,88.89
2021-10-01 10:00:00,88.89,90.19,88.73,89.74
2021-10-01 11:00:00,89.74,90.27,89.65,89.87
2021-10-01 12:00:00,89.87,89.99,89.03,89.03
2021-10-01 13:00:00,89.03,89.29,88.43,88.47
2021-10-01 14:00:00,88.47,88.64,88.26,88.44
2021-10-01 15:00:00,88.44,88.5,87.93,88.04
2021-10-01 16:00:00,88.04,88.23,87.73,88.07
2021-10-01 17:00:00,88.07,88.49,88.03,88.15
2021-10-01 18:00:00,88.15,88.2,83.67,83.67
2021-10-01 19:00:00,83.67,84.5,83.02,83.07
2021-10-01 20:00:00,83.07,83.52,82.64,83.26
2021-10-01 21:00:00,83.26,83.93,83.26,83.8
2021-10-01 22:00:00,83.8,85.71,83.8,85.69
2021-10-01 23:00:00,85.69,85.96,85.63,85.84
2021-10-02 00:00:00,85.83,85.83,85.66,85.66
2021-10-02 01:00:00,85.66,85.68,85.52,85.63
2021-10-02 02:00:00,85.63,85.67,85.36,85.39
2021-10-02 03:00:00,85.39,85.47,85.36,85.44
2021-10-02 04:00:00,85.44,85.46,85.22,85.35
2021-10-02 05:00:00,85.35,85.39,85.03,85.03
2021-10-02 06:00:00,85.03,85.03,84.52,84.64
2021-10-02 07:00:00,84.64,84.93,84.41,84.41
2021-10-02 08:00:00,84.4,84.83,83.72,84.39
2021-10-02 09:00:00,84.39,84.65,84.37,84.63
2021-10-02 10:00:00,84.63,84.71,84.51,84.53
2021-10-02 11:00:00,84.53,84.53,82.2,82.45
2021-10-02 12:00:00,82.45,82.68,82.24,82.32
2021-10-02 13:00:00,82.32,82.52,82.27,82.29
2021-10-02 14:00:00,82.29,82.35,81.74,81.97
2021-10-02 15:00:00,81.97,81.99,81.68,81.71
2021-10-02 16:00:00,81.71,82.81,81.7,82.81
2021-10-02 17:00:00,82.81,83.33,82.8,83.16
2021-10-02 18:00:00,83.16,83.37,83.07,83.28
2021-10-02 19:00:00,83.28,83.76,83.28,83.72
2021-10-02 20:00:00,83.72,83.79,83.57,83.57
2021-10-02 21:00:00,83.57,83.8,83.55,83.8
