date,iv_00,iv_01,iv_02,iv_03,iv_04,iv_05,iv_06,iv_07,iv_08,iv_09,iv_10,iv_11,iv_12,iv_13,iv_14,iv_15,iv_16,iv_17,iv_18,iv_19,iv_20,iv_21,iv_22,iv_23,btc_iv_mean,btc_iv_std,btc_iv_min,btc_iv_max,btc_iv_range,vix_t+1,vix_t+2,vix_t+3
2021-10-01,,63.27,64.09,69.91,63.97,65.55,63.79,61.13,65.99,59.76,88.31,109.98,110.94,118.63,116.42,107.52,102.69,103.15,103.14,102.89,103.4,103.13,103.81,103.21,89.33391304347825,21.44877401436659,59.76,118.63,58.87,22.96,21.3,21.0
2021-10-04,111.94,112.05,112.2,112.27,112.71,112.37,112.34,112.22,112.39,110.7,110.83,62.63,64.65,70.78,78.65,77.33,77.74,78.08,77.92,83.45,86.44,85.28,85.93,84.35,93.55208333333333,18.227262662469826,62.63,112.71,50.07999999999999,21.3,21.0,19.54
2021-10-05,87.0,87.21,88.18,86.33,85.77,89.13,87.0,89.73,86.19,86.82,84.29,82.96,79.32,80.29,85.95,84.1,82.09,77.27,81.19,89.43,79.3,108.95,110.25,110.57,87.88833333333332,9.160320701936087,77.27,110.57,33.3,21.0,19.54,18.77
2021-10-06,111.76,112.86,119.29,116.93,118.54,111.06,117.3,114.1,113.93,121.17,125.94,122.63,123.92,129.25,120.2,116.5,99.3,98.4,97.37,94.9,85.21,88.57,88.48,117.43,111.04333333333334,12.780336005199436,85.21,129.25,44.040000000000006,19.54,18.77,20.0
2021-10-07,117.13,118.21,117.61,116.59,117.67,117.66,117.88,117.22,123.5,119.45,119.79,85.92,89.94,89.08,88.66,87.6,88.25,92.25,87.08,87.33,86.01,85.97,85.55,84.66,101.70875000000001,15.833564599760301,84.66,123.5,38.84,18.77,20.0,19.85
2021-10-08,84.95,85.82,83.2,83.39,83.94,84.37,84.36,74.4,69.99,68.25,69.89,70.33,77.06,79.89,75.84,85.78,84.72,83.52,82.04,84.23,84.68,83.5,83.22,82.54,80.41291666666666,5.756108648675972,68.25,85.82,17.569999999999993,20.0,19.85,18.64
2021-10-11,109.88,108.62,112.64,113.47,113.35,112.92,108.9,110.5,110.39,110.21,110.09,109.81,77.04,78.9,79.75,87.53,102.99,97.23,104.16,102.41,99.29,108.31,108.24,108.68,103.55458333333331,11.316012117951407,77.04,113.47,36.42999999999999,19.85,18.64,16.86
2021-10-12,108.33,107.95,107.93,107.63,107.8,107.58,108.9,112.43,108.74,109.39,108.53,108.91,105.01,101.33,98.86,102.58,104.81,105.71,105.85,88.98,92.08,104.93,104.37,104.29,105.12166666666667,5.371496161638092,88.98,112.43,23.450000000000003,18.64,16.86,16.3
2021-10-13,103.84,104.85,104.74,114.03,113.93,108.81,110.49,110.03,95.91,86.63,74.97,65.68,75.36,77.81,64.92,98.07,91.41,90.65,91.24,93.22,92.64,94.09,95.34,110.38,94.54333333333334,14.538484361728765,64.92,114.03,49.11,16.86,16.3,16.31
2021-10-14,112.57,97.48,104.9,104.91,105.08,103.75,104.35,104.97,104.52,95.34,92.01,90.37,91.51,89.14,85.02,92.12,92.36,78.74,77.08,81.78,86.4,86.15,85.96,84.74,93.80208333333333,9.832702304120126,77.08,112.57,35.489999999999995,16.3,16.31,15.7
2021-10-15,85.55,86.78,88.42,87.53,87.94,87.4,88.91,90.01,95.29,88.71,90.3,91.15,83.29,83.58,83.62,82.96,81.99,79.29,77.74,76.95,66.24,64.09,65.13,65.29,82.42333333333333,8.956967492777155,64.09,95.29,31.200000000000003,16.31,15.7,15.49
2021-10-18,70.08,71.06,70.5,71.22,71.61,71.49,71.47,66.77,66.7,69.72,71.38,69.51,72.43,71.6,73.8,67.35,67.34,67.74,68.19,64.18,74.45,75.38,71.68,71.51,70.29833333333333,2.6732144250543834,64.18,75.38,11.199999999999989,15.7,15.49,15.01
2021-10-19,70.72,71.52,71.82,69.83,70.16,70.31,70.63,70.62,72.57,72.48,72.8,71.8,89.44,84.68,76.14,75.95,75.48,75.49,74.93,74.64,74.48,74.69,74.48,74.97,74.19291666666666,4.512475922293145,69.83,89.44,19.61,15.49,15.01,15.43
2021-10-20,74.77,74.95,75.16,75.07,75.12,75.33,75.97,77.59,77.93,77.5,77.51,78.51,75.26,77.25,87.89,99.07,96.84,96.87,96.62,97.8,97.8,97.53,97.39,97.33,84.71083333333333,10.422972920081564,74.77,99.07,24.299999999999997,15.01,15.43,15.24
2021-10-21,97.49,97.72,97.72,101.21,97.99,125.77,125.8,122.56,101.56,113.87,103.4,98.61,91.21,101.65,101.38,111.22,104.38,103.33,104.84,105.63,100.01,100.86,100.47,99.97,104.52708333333334,9.020409939188712,91.21,125.8,34.59,15.43,15.24,15.98
2021-10-22,100.89,101.59,99.92,100.7,101.34,101.65,102.55,100.57,109.86,100.87,89.51,101.07,97.74,98.39,105.33,107.3,104.07,106.87,106.69,106.27,105.64,105.41,105.67,105.09,102.70791666666666,4.1947181893907715,89.51,109.86,20.349999999999994,15.24,15.98,16.98
2021-10-25,103.63,103.49,104.42,100.97,100.17,107.45,107.77,100.68,98.35,101.14,98.65,100.33,99.65,95.9,96.73,101.29,103.34,103.55,99.59,100.33,100.36,96.82,97.87,97.02,100.8125,3.157424996527336,95.9,107.77,11.86999999999999,15.98,16.98,16.53
